transaction_id,product_id,gender,generation,promo_item_yn,product_group,line_item_amount,period,price_evalution
554,25,M,Young,"N",Beverages,2.2,Evening,Cheap
555,32,M,Young,"N",Beverages,6.0,Evening,Average
558,56,M,Senior,"N",Beverages,2.55,Evening,Cheap
562,43,F,Young,"N",Beverages,6.0,Evening,Average
565,51,M,Young,"N",Beverages,6.0,Morning,Average
566,60,F,Senior,"N",Beverages,7.5,Evening,Average
575,55,M,Young,"N",Beverages,8.0,Evening,Average
575,71,M,Young,"N",Food,3.75,Evening,Cheap
580,54,N,Senior,"N",Beverages,5.0,Morning,Average
585,52,F,Senior,"N",Beverages,5.0,Evening,Average
586,26,M,Senior,"N",Beverages,6.0,Evening,Average
588,28,M,Middle aged,"N",Beverages,4.0,Evening,Cheap
590,36,F,Senior,"N",Beverages,3.75,Evening,Cheap
591,51,F,Young,"N",Beverages,6.0,Evening,Average
593,59,F,Middle aged,"N",Beverages,4.5,Evening,Average
599,41,M,Senior,"N",Beverages,4.25,Evening,Average
601,23,M,Middle aged,"N",Beverages,2.5,Morning,Cheap
601,69,M,Middle aged,"N",Food,3.25,Morning,Cheap
602,22,F,Senior,"N",Beverages,2.0,Evening,Cheap
610,43,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
611,51,N,Middle aged,"N",Beverages,6.0,Morning,Average
616,30,M,Middle aged,"N",Beverages,6.0,Morning,Average
625,25,N,Senior,"N",Beverages,4.4,Evening,Average
625,77,N,Senior,"N",Food,3.0,Evening,Cheap
641,59,N,Middle aged,"N",Beverages,4.5,Evening,Average
646,54,M,Young,"N",Beverages,5.0,Evening,Average
660,55,F,Senior,"N",Beverages,4.0,Evening,Cheap
675,57,M,Young,"N",Beverages,3.1,Evening,Cheap
675,70,M,Young,"N",Food,3.25,Evening,Cheap
676,59,M,Young,"N",Beverages,4.5,Morning,Average
677,36,M,Middle aged,"N",Beverages,7.5,Evening,Average
684,37,F,Young,"N",Beverages,6.0,Morning,Average
691,25,F,Middle aged,"N",Beverages,2.2,Evening,Cheap
691,77,F,Middle aged,"N",Food,3.0,Evening,Cheap
693,60,F,Senior,"N",Beverages,7.5,Evening,Average
694,60,M,Young,"N",Beverages,3.75,Evening,Cheap
703,38,F,Middle aged,"N",Beverages,7.5,Evening,Average
709,44,M,Middle aged,"N",Beverages,5.0,Evening,Average
711,60,M,Middle aged,"N",Beverages,7.5,Evening,Average
724,58,F,Middle aged,"N",Beverages,3.5,Evening,Cheap
725,55,F,Senior,"N",Beverages,4.0,Evening,Cheap
728,51,M,Middle aged,"N",Beverages,6.0,Evening,Average
737,34,M,Middle aged,"N",Beverages,4.9,Evening,Average
739,56,M,Middle aged,"N",Beverages,2.55,Evening,Cheap
755,25,M,Young,"N",Beverages,2.2,Evening,Cheap
766,22,M,Middle aged,"N",Beverages,2.0,Evening,Cheap
770,58,F,Senior,"N",Beverages,7.0,Evening,Average
771,35,M,Middle aged,"N",Beverages,3.1,Evening,Cheap
777,55,F,Senior,"N",Beverages,4.0,Evening,Cheap
778,42,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
780,60,M,Middle aged,"N",Beverages,3.75,Evening,Cheap
782,53,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
789,41,F,Middle aged,"N",Beverages,8.5,Evening,Expensive
790,53,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
793,26,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
798,44,F,Senior,"N",Beverages,5.0,Evening,Average
803,49,F,Middle aged,"N",Beverages,6.0,Morning,Average
807,26,N,Young,"N",Beverages,6.0,Evening,Average
809,37,M,Senior,"N",Beverages,6.0,Evening,Average
810,28,N,Senior,"N",Beverages,2.0,Evening,Cheap
820,51,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
820,74,F,Middle aged,"N",Food,3.5,Evening,Cheap
823,47,M,Senior,"N",Beverages,3.0,Evening,Cheap
828,52,F,Middle aged,"N",Beverages,2.5,Morning,Cheap
831,55,F,Senior,"N",Beverages,8.0,Evening,Average
855,24,F,Young,"N",Beverages,3.0,Evening,Cheap
859,27,M,Middle aged,"N",Beverages,7.0,Evening,Average
859,74,M,Middle aged,"N",Food,3.5,Evening,Cheap
861,35,F,Senior,"N",Beverages,3.1,Evening,Cheap
869,36,F,Middle aged,"N",Beverages,7.5,Evening,Average
873,46,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
873,78,F,Middle aged,"N",Food,4.5,Evening,Average
889,45,F,Middle aged,"N",Beverages,6.0,Evening,Average
889,70,F,Middle aged,"N",Food,3.25,Evening,Cheap
891,34,F,Young,"N",Beverages,4.9,Evening,Average
891,71,F,Young,"N",Food,3.75,Evening,Cheap
901,29,F,Senior,"N",Beverages,2.5,Evening,Cheap
901,71,F,Senior,"N",Food,3.75,Evening,Cheap
902,58,F,Young,"N",Beverages,7.0,Evening,Average
917,27,F,Young,"N",Beverages,7.0,Evening,Average
919,54,F,Young,"N",Beverages,2.5,Evening,Cheap
921,56,N,Middle aged,"N",Beverages,2.55,Morning,Cheap
923,57,N,Middle aged,"N",Beverages,3.1,Evening,Cheap
924,57,N,Middle aged,"N",Beverages,6.2,Evening,Average
932,44,M,Young,"N",Beverages,5.0,Evening,Average
944,50,M,Senior,"N",Beverages,5.0,Evening,Average
944,69,M,Senior,"N",Food,3.25,Evening,Cheap
946,47,F,Middle aged,"N",Beverages,6.0,Evening,Average
948,61,F,Senior,"N",Beverages,4.75,Evening,Average
960,23,F,Senior,"N",Beverages,2.5,Evening,Cheap
964,54,F,Middle aged,"N",Beverages,5.0,Evening,Average
968,53,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
969,43,F,Senior,"N",Beverages,3.0,Evening,Cheap
984,53,M,Senior,"N",Beverages,3.0,Evening,Cheap
988,37,F,Senior,"N",Beverages,3.0,Evening,Cheap
993,43,F,Senior,"N",Beverages,3.0,Evening,Cheap
994,39,M,Senior,"N",Beverages,4.25,Evening,Average
1000,23,N,Senior,"N",Beverages,5.0,Evening,Average
1010,29,F,Senior,"N",Beverages,5.0,Evening,Average
1014,23,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
1015,52,M,Senior,"N",Beverages,5.0,Morning,Average
1017,54,F,Senior,"N",Beverages,2.5,Morning,Cheap
1018,47,F,Middle aged,"N",Beverages,6.0,Evening,Average
1023,58,F,Senior,"N",Beverages,7.0,Evening,Average
1033,43,N,Young,"N",Beverages,3.0,Evening,Cheap
1042,41,F,Senior,"N",Beverages,4.25,Evening,Average
1046,33,F,Senior,"N",Beverages,3.5,Evening,Cheap
1051,29,F,Senior,"N",Beverages,5.0,Evening,Average
1052,48,F,Young,"N",Beverages,2.5,Evening,Cheap
1057,44,F,Senior,"N",Beverages,5.0,Evening,Average
1057,78,F,Senior,"N",Food,4.5,Evening,Average
1064,38,F,Middle aged,"N",Beverages,7.5,Evening,Average
1065,29,M,Middle aged,"N",Beverages,5.0,Evening,Average
1071,40,F,Middle aged,"N",Beverages,7.5,Morning,Average
1072,41,M,Young,"N",Beverages,4.25,Evening,Average
1088,50,M,Middle aged,"N",Beverages,5.0,Evening,Average
1093,34,N,Middle aged,"N",Beverages,4.9,Evening,Average
1094,27,F,Senior,"N",Beverages,3.5,Evening,Cheap
1095,54,M,Middle aged,"N",Beverages,5.0,Evening,Average
1096,59,F,Senior,"N",Beverages,4.5,Evening,Average
1108,55,F,Young,"N",Beverages,4.0,Morning,Cheap
1114,59,F,Senior,"N",Beverages,4.5,Evening,Average
1116,37,F,Senior,"N",Beverages,3.0,Evening,Cheap
1117,58,M,Middle aged,"N",Beverages,3.5,Evening,Cheap
1120,38,F,Middle aged,"N",Beverages,3.75,Evening,Cheap
1123,26,M,Young,"N",Beverages,6.0,Evening,Average
1125,32,M,Middle aged,"N",Beverages,6.0,Evening,Average
1145,42,F,Senior,"N",Beverages,2.5,Evening,Cheap
1146,36,F,Middle aged,"N",Beverages,3.75,Evening,Cheap
1151,42,F,Senior,"N",Beverages,5.0,Evening,Average
1167,53,M,Senior,"N",Beverages,3.0,Evening,Cheap
1169,56,F,Young,"N",Beverages,5.1,Evening,Average
1169,70,F,Young,"N",Food,3.25,Evening,Cheap
1182,53,M,Senior,"N",Beverages,3.0,Evening,Cheap
1185,37,F,Middle aged,"N",Beverages,6.0,Evening,Average
1185,69,F,Middle aged,"N",Food,3.25,Evening,Cheap
1187,38,F,Middle aged,"N",Beverages,7.5,Evening,Average
1195,36,M,Middle aged,"N",Beverages,7.5,Morning,Average
1198,38,F,Senior,"N",Beverages,7.5,Evening,Average
1201,28,M,Senior,"N",Beverages,2.0,Evening,Cheap
1206,29,F,Middle aged,"N",Beverages,5.0,Evening,Average
1207,40,M,Senior,"N",Beverages,7.5,Evening,Average
1207,71,M,Senior,"N",Food,3.75,Evening,Cheap
1209,46,M,Senior,"N",Beverages,2.5,Evening,Cheap
1209,75,M,Senior,"N",Food,3.5,Evening,Cheap
1210,51,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
1230,56,M,Middle aged,"N",Beverages,2.55,Evening,Cheap
1233,40,F,Senior,"N",Beverages,3.75,Evening,Cheap
1238,29,F,Senior,"N",Beverages,2.5,Evening,Cheap
1247,45,M,Middle aged,"N",Beverages,3.0,Morning,Cheap
1247,74,M,Middle aged,"N",Food,3.5,Morning,Cheap
1257,30,F,Young,"N",Beverages,6.0,Evening,Average
1261,49,N,Middle aged,"N",Beverages,3.0,Evening,Cheap
1264,34,M,Senior,"N",Beverages,4.9,Evening,Average
1271,33,F,Senior,"N",Beverages,3.5,Evening,Cheap
1271,75,F,Senior,"N",Food,3.5,Evening,Cheap
1278,35,M,Middle aged,"N",Beverages,6.2,Evening,Average
1279,61,M,Young,"N",Beverages,4.75,Evening,Average
1285,31,M,Senior,"N",Beverages,4.4,Evening,Average
1286,41,F,Middle aged,"N",Beverages,8.5,Evening,Expensive
1288,59,F,Middle aged,"N",Beverages,9.0,Evening,Expensive
1288,70,F,Middle aged,"N",Food,3.25,Evening,Cheap
1291,44,F,Senior,"N",Beverages,5.0,Evening,Average
1291,77,F,Senior,"N",Food,3.0,Evening,Cheap
1293,31,F,Senior,"N",Beverages,4.4,Morning,Average
1296,32,N,Senior,"N",Beverages,3.0,Evening,Cheap
1297,57,F,Young,"N",Beverages,6.2,Evening,Average
1298,28,M,Middle aged,"N",Beverages,2.0,Evening,Cheap
1301,32,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
1301,79,M,Middle aged,"N",Food,3.75,Evening,Cheap
1302,22,M,Senior,"N",Beverages,2.0,Evening,Cheap
1320,31,F,Young,"N",Beverages,4.4,Evening,Average
1325,44,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
1332,36,F,Senior,"N",Beverages,7.5,Evening,Average
1333,61,M,Young,"N",Beverages,4.75,Evening,Average
1334,33,M,Senior,"N",Beverages,7.0,Evening,Average
1343,56,F,Senior,"N",Beverages,2.55,Evening,Cheap
1352,34,F,Senior,"N",Beverages,4.9,Evening,Average
1355,38,F,Middle aged,"N",Beverages,3.75,Morning,Cheap
1355,75,F,Middle aged,"N",Food,3.5,Morning,Cheap
1359,33,F,Senior,"N",Beverages,7.0,Evening,Average
1362,48,M,Senior,"N",Beverages,2.5,Evening,Cheap
1364,29,F,Senior,"N",Beverages,2.5,Evening,Cheap
1364,73,F,Senior,"N",Food,3.75,Evening,Cheap
1367,58,M,Senior,"N",Beverages,7.0,Evening,Average
1371,50,F,Senior,"N",Beverages,5.0,Evening,Average
1380,39,N,Senior,"N",Beverages,8.5,Evening,Expensive
1383,60,F,Young,"N",Beverages,7.5,Evening,Average
1384,47,F,Young,"N",Beverages,6.0,Evening,Average
1386,52,F,Senior,"N",Beverages,2.5,Evening,Cheap
1386,79,F,Senior,"N",Food,3.75,Evening,Cheap
1388,26,M,Senior,"N",Beverages,3.0,Evening,Cheap
1389,52,M,Middle aged,"N",Beverages,5.0,Morning,Average
1391,24,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
1402,54,M,Middle aged,"N",Beverages,2.5,Evening,Cheap
1402,76,M,Middle aged,"N",Food,3.5,Evening,Cheap
1404,61,F,Middle aged,"N",Beverages,4.75,Morning,Average
1406,59,M,Middle aged,"N",Beverages,4.5,Evening,Average
1407,35,F,Senior,"N",Beverages,3.1,Evening,Cheap
1416,52,F,Senior,"N",Beverages,5.0,Morning,Average
1417,51,M,Middle aged,"N",Beverages,6.0,Evening,Average
1419,52,F,Senior,"N",Beverages,5.0,Evening,Average
1419,75,F,Senior,"N",Food,3.5,Evening,Cheap
1430,61,M,Senior,"N",Beverages,4.75,Evening,Average
1430,77,M,Senior,"N",Food,3.0,Evening,Cheap
1436,59,M,Senior,"N",Beverages,9.0,Evening,Expensive
1437,58,F,Young,"N",Beverages,7.0,Evening,Average
1447,61,M,Senior,"N",Beverages,9.5,Evening,Expensive
1459,30,F,Middle aged,"N",Beverages,6.0,Evening,Average
1461,41,F,Senior,"N",Beverages,8.5,Evening,Expensive
1475,27,F,Middle aged,"N",Beverages,3.5,Evening,Cheap
1478,44,N,Middle aged,"N",Beverages,5.0,Evening,Average
1480,57,N,Young,"N",Beverages,3.1,Evening,Cheap
1488,35,M,Young,"N",Beverages,6.2,Evening,Average
1495,22,M,Senior,"N",Beverages,2.0,Evening,Cheap
1496,48,M,Middle aged,"N",Beverages,2.5,Evening,Cheap
1496,70,M,Middle aged,"N",Food,3.25,Evening,Cheap
1498,45,N,Senior,"N",Beverages,6.0,Evening,Average
1513,51,F,Senior,"N",Beverages,3.0,Evening,Cheap
1513,70,F,Senior,"N",Food,3.25,Evening,Cheap
1516,40,F,Senior,"N",Beverages,3.75,Evening,Cheap
1516,78,F,Senior,"N",Food,4.5,Evening,Average
1519,39,M,Senior,"N",Beverages,8.5,Evening,Expensive
1520,24,F,Senior,"N",Beverages,3.0,Evening,Cheap
1521,23,M,Young,"N",Beverages,5.0,Evening,Average
1526,42,F,Middle aged,"N",Beverages,5.0,Evening,Average
1526,79,F,Middle aged,"N",Food,3.75,Evening,Cheap
1539,29,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
1552,36,F,Middle aged,"N",Beverages,3.75,Evening,Cheap
1567,60,F,Middle aged,"N",Beverages,7.5,Morning,Average
1570,48,M,Young,"N",Beverages,5.0,Evening,Average
1575,57,F,Young,"N",Beverages,6.2,Morning,Average
1583,37,F,Middle aged,"N",Beverages,3.0,Evening,Cheap
1587,27,M,Senior,"N",Beverages,3.5,Evening,Cheap
1587,70,M,Senior,"N",Food,3.25,Evening,Cheap
1597,54,M,Middle aged,"N",Beverages,5.0,Evening,Average
1597,69,M,Middle aged,"N",Food,3.25,Evening,Cheap
1598,61,M,Middle aged,"N",Beverages,9.5,Evening,Expensive
1598,72,M,Middle aged,"N",Food,3.25,Evening,Cheap
1599,43,F,Senior,"N",Beverages,6.0,Evening,Average
1599,78,F,Senior,"N",Food,4.5,Evening,Average
1600,24,M,Middle aged,"N",Beverages,6.0,Evening,Average
1611,34,F,Middle aged,"N",Beverages,4.9,Evening,Average
1614,28,M,Middle aged,"N",Beverages,2.0,Evening,Cheap
1614,78,M,Middle aged,"N",Food,4.5,Evening,Average
1625,23,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
1626,36,M,Young,"N",Beverages,7.5,Evening,Average
1634,46,F,Senior,"N",Beverages,2.5,Morning,Cheap
1638,27,F,Middle aged,"N",Beverages,3.5,Evening,Cheap
1645,44,F,Middle aged,"N",Beverages,5.0,Evening,Average
1647,42,F,Middle aged,"N",Beverages,2.5,Evening,Cheap
1658,47,F,Senior,"N",Beverages,3.0,Evening,Cheap
1658,69,F,Senior,"N",Food,3.25,Evening,Cheap
1660,52,M,Senior,"N",Beverages,5.0,Morning,Average
1662,61,F,Young,"N",Beverages,4.75,Evening,Average
1666,35,M,Senior,"N",Beverages,6.2,Evening,Average
1666,78,M,Senior,"N",Food,4.5,Evening,Average
1680,24,N,Middle aged,"N",Beverages,3.0,Evening,Cheap
1680,71,N,Middle aged,"N",Food,3.75,Evening,Cheap
1683,33,F,Middle aged,"N",Beverages,3.5,Evening,Cheap
1685,28,M,Young,"N",Beverages,2.0,Evening,Cheap
1694,38,N,Senior,"N",Beverages,7.5,Evening,Average
1695,35,M,Middle aged,"N",Beverages,6.2,Evening,Average
1706,49,M,Middle aged,"N",Beverages,6.0,Evening,Average
1707,47,M,Senior,"N",Beverages,6.0,Evening,Average
1710,55,N,Young,"N",Beverages,8.0,Evening,Average
1711,42,M,Middle aged,"N",Beverages,2.5,Evening,Cheap
1712,39,N,Young,"N",Beverages,4.25,Evening,Average
1712,73,N,Young,"N",Food,3.75,Evening,Cheap
1717,39,F,Senior,"N",Beverages,4.25,Evening,Average
1719,43,F,Middle aged,"N",Beverages,3.0,Morning,Cheap
1724,49,F,Young,"N",Beverages,6.0,Evening,Average
1725,23,M,Young,"N",Beverages,2.5,Evening,Cheap
1729,35,F,Middle aged,"N",Beverages,3.1,Evening,Cheap
1737,60,M,Senior,"N",Beverages,7.5,Evening,Average
1737,69,M,Senior,"N",Food,3.25,Evening,Cheap
1739,52,F,Young,"N",Beverages,5.0,Evening,Average
1742,22,F,Young,"N",Beverages,2.0,Evening,Cheap
1745,58,N,Middle aged,"N",Beverages,3.5,Evening,Cheap
1745,69,N,Middle aged,"N",Food,3.25,Evening,Cheap
1747,40,M,Senior,"N",Beverages,7.5,Morning,Average
1749,46,M,Middle aged,"N",Beverages,2.5,Evening,Cheap
1752,37,F,Senior,"N",Beverages,6.0,Evening,Average
1753,28,F,Young,"N",Beverages,4.0,Evening,Cheap
1757,32,F,Senior,"N",Beverages,3.0,Morning,Cheap
1759,26,F,Middle aged,"N",Beverages,3.0,Morning,Cheap
1768,55,M,Middle aged,"N",Beverages,8.0,Evening,Average
1768,76,M,Middle aged,"N",Food,3.5,Evening,Cheap
1771,33,F,Young,"N",Beverages,7.0,Evening,Average
1773,44,F,Senior,"N",Beverages,5.0,Evening,Average
1786,32,M,Senior,"N",Beverages,6.0,Morning,Average
1790,46,N,Senior,"N",Beverages,2.5,Evening,Cheap
1807,42,F,Senior,"N",Beverages,2.5,Evening,Cheap
1811,58,M,Middle aged,"N",Beverages,3.5,Evening,Cheap
1817,28,F,Senior,"N",Beverages,4.0,Evening,Cheap
1823,56,F,Young,"N",Beverages,5.1,Evening,Average
1825,22,F,Middle aged,"N",Beverages,2.0,Morning,Cheap
1828,34,F,Middle aged,"N",Beverages,2.45,Evening,Cheap
1830,35,M,Senior,"N",Beverages,3.1,Evening,Cheap
1837,43,F,Middle aged,"N",Beverages,6.0,Evening,Average
1840,38,N,Young,"N",Beverages,7.5,Evening,Average
1846,56,F,Middle aged,"N",Beverages,2.55,Evening,Cheap
1852,50,N,Senior,"N",Beverages,5.0,Evening,Average
1852,75,N,Senior,"N",Food,3.5,Evening,Cheap
1854,59,F,Young,"N",Beverages,4.5,Evening,Average
1855,32,M,Middle aged,"N",Beverages,3.0,Evening,Cheap
1862,33,M,Middle aged,"N",Beverages,7.0,Evening,Average
1873,27,F,Young,"N",Beverages,7.0,Evening,Average
1880,56,M,Senior,"N",Beverages,2.55,Evening,Cheap
1888,42,M,Young,"N",Beverages,5.0,Evening,Average
1892,26,M,Young,"N",Beverages,3.0,Evening,Cheap
1892,74,M,Young,"N",Food,3.5,Evening,Cheap
1894,33,M,Young,"N",Beverages,7.0,Morning,Average
1899,24,N,Middle aged,"N",Beverages,3.0,Evening,Cheap
1903,30,F,Young,"N",Beverages,3.0,Evening,Cheap
1905,35,N,Young,"N",Beverages,3.1,Evening,Cheap
1918,55,M,Senior,"N",Beverages,8.0,Evening,Average
1920,59,F,Young,"N",Beverages,4.5,Evening,Average
1923,58,F,Young,"N",Beverages,3.5,Evening,Cheap
1927,38,N,Middle aged,"N",Beverages,3.75,Evening,Cheap
1944,28,M,Senior,"N",Beverages,2.0,Evening,Cheap
1944,71,M,Senior,"N",Food,3.75,Evening,Cheap
1945,42,F,Senior,"N",Beverages,2.5,Evening,Cheap
1947,57,M,Middle aged,"N",Beverages,3.1,Evening,Cheap
1947,77,M,Middle aged,"N",Food,3.0,Evening,Cheap
1949,35,F,Young,"N",Beverages,6.2,Evening,Average
1954,33,N,Young,"N",Beverages,7.0,Evening,Average
1960,28,M,Senior,"N",Beverages,2.0,Evening,Cheap
1965,36,M,Middle aged,"N",Beverages,3.75,Evening,Cheap
1965,71,M,Middle aged,"N",Food,3.75,Evening,Cheap
1967,30,F,Senior,"N",Beverages,6.0,Evening,Average
1967,79,F,Senior,"N",Food,3.75,Evening,Cheap
